,CN_r,CN_std,CN_p,US_r,US_std,US_p,EU_r,EU_std,EU_p
0,0.173289966,0.043322491,0.011711612,0.482330718,0.120582679,3.36348E-06,0.233891517,0.058472879,0.016215023
1,0.26396988,0.06599247,0.018026302,0.384098917,0.096024729,0.023210131,0.184991674,0.046247919,0.016824462
