,lat,lon,EVI2_Onset_Greenness_Maximum_1_co2_r
411,31.2071,121.577,-0.3686266655008941
1270,41.515053,-81.24991,-0.3682581005879337
23,41.2864,123.7669,-0.3682153143482793
243,32.9673,117.3533,-0.3672898865610646
697,49.66958237,12.6778841,-0.3666333398884318
174,42.8172,93.5128,-0.3665454890701292
799,47.09436111,15.41511111,-0.3659110872723536
235,41.9419,126.4077,-0.3643388333350102
969,51.453459,6.86505,-0.3642364662804963
574,38.497,106.1015,-0.3624175351835568
952,46.951,7.44087,-0.3615684899401267
397,26.3003,106.805,-0.3612150021473696
1272,40.084515,-82.81558,-0.3598295182509231
947,48.33472,16.729445,-0.3596230165983318
897,60.22393,25.10244,-0.3581143675746168
984,54.09323,10.240596,-0.3570224004410357
1117,51.0612777,3.77526239,-0.354509392916307
101,36.2125,113.0886,-0.354235089902246
11,46.408,124.902,-0.3539891407211314
679,48.899233,9.172792,-0.3509486736291944
1105,59.399355,18.077416,-0.3508688395369127
340,32.02,120.87,-0.3500342925271923
877,46.256617,26.792892,-0.3498956859392771
979,51.396095,12.234054,-0.3489666769415225
671,45.499167,12.262222,-0.3474511169741602
803,48.16206944,16.52561389,-0.3434378803265153
246,33.9477,116.7856,-0.3421697091345312
430,29.3578,113.1094,-0.3411282254380214
1388,37.70097,-94.03474,-0.3410159200517512
1136,42.45639,14.23472,-0.339768866337357
222,39.3522,112.4397,-0.3395662265157613
1174,52.077148,4.289185,-0.3394699773967682
666,26.5424,106.674,-0.3392683242523881
825,48.04944444,14.44277778,-0.3374414756273492
690,44.3818,7.5382,-0.3356177781445488
1080,50.970024,9.80026,-0.3345741019970293
1232,49.15167,-0.352778,-0.3339382711111323
758,45.47833,9.23583,-0.3306064539076038
1112,44.92467,10.5172,-0.330425499846136
1096,51.838221,5.856938,-0.3292820067811056
927,54.88361,-1.406878,-0.3249961378612664
746,42.14326062,2.510206967,-0.3245310039060327
208,41.2495,123.1683,-0.3240984811340012
416,28.2264,117.0222,-0.3235733223762606
219,35.5051,112.85,-0.3235488017949822
930,51.746848,14.33447,-0.3216870093409459
1415,30.419806,-91.182014,-0.3187419497168959
684,50.010575,19.949189,-0.3179680626128671
924,49.544078,8.465281,-0.3115098885813563
209,42.3022,123.8139,-0.3084285055507961
1230,49.28222,4.051111,-0.3068553404959042
545,36.0621,114.4839,-0.3068094050696685
1023,47.44739,-0.550067,-0.3059937900448549
951,47.4387,8.57012,-0.3054433030623938
509,27.3125,105.2864,-0.3013316509190473
248,30.8792,117.7439,-0.3009896071576512
781,48.167961,17.106244,-0.3000486485232383
1029,42.53417,12.52194,-0.2997073399528851
193,30.0475,101.9603,-0.2990430162882823
381,39.8863,116.4072,-0.2989407501609617
855,42.142889,24.765239,-0.298744854470145
852,42.432356,25.637389,-0.2985123555441208
687,45.183611,11.311389,-0.2974369851160594
1201,41.15604,15.09675,-0.2930541300117938
1439,39.310833,-76.47444,-0.2930446727209271
1062,51.321364,12.032141,-0.2907705127549331
1416,39.28102,-78.08157,-0.2900094052792394
1127,45.5966,7.76643,-0.2877745368465839
937,57.8634,11.9216,-0.2859910490402464
702,60.37288,11.07407,-0.2858652725613432
1352,31.893913,-106.42583,-0.285451944695503
1373,38.45934,-82.64041,-0.2844574330030956
452,24.5058,118.0936,-0.2844099576231172
5,47.3227,123.9483,-0.2843474390415305
195,33.1138,107.0089,-0.2840472794799476
1289,35.379166,-82.7925,-0.2822705787759842
691,48.001511,7.832122,-0.2817731378066739
1180,56.15976,10.19364,-0.280495314877289
1179,46.555842,26.926942,-0.2761039201096857
1418,45.49664,-122.602875,-0.27572421077433
808,48.782852,20.987197,-0.2754985274681711
1309,45.56498,-88.80859,-0.2749027864276132
412,25.8333,114.9322,-0.271412181415642
1302,37.1655,-78.3069,-0.2694713276030694
1234,50.44914,2.9,-0.2674991892111394
820,48.753179,21.245046,-0.2660789710499269
1313,38.86067,-90.10585,-0.2631613514190977
1125,47.565439,14.244676,-0.2624993400521734
1377,43.97462,-70.12461,-0.2621860976716215
319,38.9108,115.4713,-0.2586935203462989
1226,46.586918,0.358583,-0.2552077799798394
1326,42.68075,-73.75733,-0.2546939928377852
923,51.054558,12.141322,-0.2540101229315621
489,36.881,118.746,-0.2531099822298811
78,36.229,117.6795,-0.2512236593487145
335,34.2778,117.2933,-0.2507901004943968
565,26.1028,119.2984,-0.2488644334148727
910,49.20272446,16.61628723,-0.2481956742225796
1357,42.14175,-80.03861,-0.2481713161694142
1122,43.867496,18.423061,-0.2477608987016273
1007,48.9964,1.7033,-0.2475473763862793
888,46.58389,0.345556,-0.2473410822423854
1308,42.5956,-87.88576,-0.2458870015521025
1325,44.08747,-75.97316,-0.2435279612575986
723,46.19583,6.240556,-0.2434757583379933
247,30.9412,117.8177,-0.2423943829123078
834,48.257474,13.03923,-0.2412648316703699
1336,40.82799,-73.05754,-0.2412019597385623
173,42.9559,89.1673,-0.2386921041526976
126,37.5433,121.3719,-0.2380532931907146
1104,51.75816,10.61248,-0.2367258324812358
1119,45.623056,13.7875,-0.2363227593566004
1445,35.988277,-77.5843,-0.2358651325286151
1372,46.81826,-92.08936,-0.2343414426092729
730,45.683333,9.466667,-0.2315639420739616
1158,51.748103,18.04931,-0.230800217938711
144,32.5714,110.8839,-0.2267143924186734
918,48.904228,11.948795,-0.2258377927348343
1186,44.564972,27.366081,-0.2247858873823328
525,37.5072,122.1067,-0.2241512943650134
194,33.0706,107.0154,-0.2230805577088739
77,40.7677,120.8695,-0.2210966901779197
761,47.751475,23.605325,-0.2209472362579436
1434,43.68578,-74.98538,-0.2196269502087275
333,45.7478,126.593,-0.2191975027553695
909,49.41123199,14.67638874,-0.2156445598204543
701,46.13167,9.56639,-0.2145123248549751
773,48.40861,15.619166,-0.2142441506538212
188,30.5232,105.5582,-0.2129719587327707
716,49.94498825,17.90953064,-0.2122182272263418
1072,49.634841,9.657919,-0.2119827125686927
1441,31.188932,-85.423096,-0.2107977664850933
678,50.836389,19.130111,-0.2090164406699144
1281,35.76541,-82.264946,-0.2081964441759457
1334,43.05235,-76.05921,-0.2079749137625883
482,31.5031,120.242,-0.2047314927172264
1066,45.263142,27.969506,-0.2038324225994321
1070,48.889039,8.665536,-0.2022263143646424
1369,43.176674,-85.41661,-0.2015766759052014
591,36.61763,114.5129,-0.2013173443706811
143,32.6494,110.78,-0.1993495224415612
493,31.9037,102.224,-0.1983801434655883
898,47.737415,7.309075,-0.1961895613601922
7,44.561,129.61,-0.1938286473031258
512,25.0925,104.9022,-0.1928746506183928
1268,40.026035,-82.433,-0.1920205653714466
526,27.8851,102.2685,-0.1872200100519722
1381,38.548138,-82.73116,-0.1870935455642874
451,26.4365,106.6555,-0.1868915874944223
940,48.248993,16.357079,-0.1850762722993061
1290,35.587143,-83.07416,-0.1850551998026455
85,34.2629,108.993,-0.1850410315097038
1277,39.42689,-84.20077,-0.1836402676721479
908,49.73508453,16.03419685,-0.1829599795894017
706,42.09791019,1.848237224,-0.1822480319622544
925,52.99875,11.73846,-0.1814934111777069
205,41.998,121.6094,-0.181330874109617
407,31.4741,104.7778,-0.1813090701046109
813,47.04735,16.07905,-0.1808220728565159
968,50.889871,6.985074,-0.1800733231781054
25,41.3472,123.8142,-0.1793470537008849
1017,53.187222,-6.121667,-0.1789068977528651
97,35.2375,115.4747,-0.1770533932731797
1037,49.83918762,18.26368904,-0.1754465325021259
1115,59.316007,18.057807,-0.1741162753735539
498,34.7178,113.7329,-0.1731099709506546
846,47.105278,17.556667,-0.1728216161675952
1256,39.48599,-87.40131,-0.1716011042877719
874,45.60822,5.270872,-0.1708066352614182
390,39.9136,116.184,-0.1691848380708172
1349,43.1818,-87.901,-0.1669042891126377
1145,50.42864609,14.91385937,-0.1665836168585851
577,30.6558,104.0219,-0.1659557211392495
1013,49.276386,2.482167,-0.16300122199384
764,45.869995,1.31,-0.1628349857143678
597,25.0441,101.5482,-0.1616127630467688
1041,51.462734,13.526796,-0.1600426695361643
568,38.8959,115.5213,-0.1582156332749783
1318,42.04915,-88.273026,-0.1571231896849833
1317,42.060284,-87.86323,-0.1517175781622491
1440,47.5525,-122.06472,-0.1504537467709922
913,50.08148193,14.4426918,-0.15029891885076
1310,45.2384,-86.994,-0.1494434917707642
115,34.7837,117.2852,-0.1490369688312091
902,45.038831,24.298631,-0.1489581680325768
1102,50.010325,8.451527,-0.1481502251573602
674,50.007629,18.455548,-0.1449241587773731
676,49.224167,4.020556,-0.1448005345649819
424,33.774,113.182,-0.1445254145363551
1132,49.165508,9.224786,-0.1441421206694759
675,48.962223,4.36,-0.1427289477393738
1251,35.59095,-78.4622,-0.1424317800982768
683,45.6725,12.238611,-0.1421807327393981
811,43.39873,6.075611,-0.1420885910826125
875,40.641111,-8.100556,-0.1420628292392749
698,49.77012634,13.36822128,-0.1418300876512851
934,47.5292,9.9267,-0.1415269449302982
1355,39.80933,-80.26567,-0.1408606773563319
103,37.4236,122.1214,-0.1406943197186903
447,31.388,120.953,-0.1388997449615699
1248,41.4271,-80.1451,-0.1386895094971436
1356,39.96111,-77.475555,-0.1377708414816251
79,35.0532,118.3429,-0.13739072141168
1425,40.304695,-79.50567,-0.1346153480485574
695,49.50260925,18.53856087,-0.1337912452513199
18,41.8491,123.7977,-0.1328548041179978
628,34.5023,109.4259,-0.132492830681662
1278,41.24045,-80.66272,-0.1324001166724299
766,45.848333,11.569167,-0.1304195833782842
476,46.7432,82.9994,-0.1298864395941469
863,52.602056,11.850274,-0.1282538591787946
1038,45.696736,27.211622,-0.1273262400209272
1253,48.41252,-92.82922,-0.1271745602285464
1176,44.825,11.649722,-0.1263735482461996
869,47.913256,7.908035,-0.1238912152606317
339,32.0005,120.86,-0.1236957061492609
95,36.1856,113.0844,-0.123015407700888
948,46.6775,12.972,-0.1229753474490499
1375,42.298492,-72.334076,-0.1210213750700015
775,46.06554495,14.51272032,-0.1204593850627873
1351,29.733727,-95.25759,-0.1196075542419028
398,29.7166,106.6205,-0.1185317058404902
184,30.1256,104.6296,-0.1166433470822559
1207,38.748611,-9.148889,-0.1155861815123069
1055,49.73244858,13.40228081,-0.1155026527012265
870,52.800773,10.756733,-0.113712621401924
140,30.2019,114.8988,-0.1130144488527059
931,50.12218857,14.46757793,-0.1124911469581146
745,40.41666666,-0.24916666,-0.1121286344129155
1043,45.411864,28.005967,-0.1111350158786057
791,56.00833511,21.88694763,-0.1107787692015226
737,49.233464,6.987601,-0.10866478238303
824,44.5,11.286111,-0.1079773290099201
1438,35.206112,-111.65278,-0.1074399758747066
66,39.8129,110.0023,-0.1073475546881102
94,35.0888,118.3956,-0.1070089584142265
819,45.6642,8.1598,-0.1066872251665923
0,39.8784,116.3621,-0.1039841944747802
1019,52.437165,-1.829999,-0.1024718527616893
279,41.0026,117.9268,-0.1004951377559923
1286,36.02661,-80.341965,-0.1000929621229963
1045,41.932892,12.506947,-0.0997500148163873
1359,40.46542,-79.960754,-0.0965880259796855
380,38.8639,115.5086,-0.0942301549342624
1,41.1442,123.0485,-0.0924000426873606
642,24.7733,113.5824,-0.0898458350868418
1181,50.30886,2.807369,-0.0896505956929519
973,49.446,7.7673,-0.0896065696651665
134,32.9735,112.5003,-0.0866449661597896
652,37.374,120.399,-0.0854875068887921
165,35.7609,115.0574,-0.0850104278640062
1241,35.507225,-82.96362,-0.0845190052272515
881,51.468662,5.47235,-0.0835638743827156
256,45.3001,130.9762,-0.0834728511210593
804,48.124711,17.125496,-0.0824640230261315
1259,29.767998,-95.22058,-0.0823973213872993
393,39.0927,117.202,-0.0822549612301142
500,30.2798,109.4707,-0.0812016756851639
1021,45.89,0.9,-0.080026159236644
218,33.6406,114.6369,-0.0791075057888951
694,54.124819,22.038056,-0.0783432301333422
602,44.0114,87.2997,-0.0779554830534286
552,28.6542,121.419,-0.0779536425139924
182,36.5446,104.1724,-0.0766783805510335
1422,44.616943,-86.109406,-0.076118147201345
1022,50.775482,3.12568,-0.0735319786890975
1285,30.700895,-91.05607,-0.072211389283731
672,52.420319,16.877289,-0.0718777643631496
903,50.37658691,13.32762241,-0.0712065054453972
845,47.561944,18.960008,-0.0711045062889066
308,30.6217,114.3646,-0.0696355950860349
505,27.5721,109.5981,-0.0664260702145138
1003,48.77586,5.162789,-0.0645235219297541
281,37.8873,112.5139,-0.0643042319493862
957,47.0674,8.46333,-0.0640523633066242
27,40.8434,121.0533,-0.0626321993379467
1089,48.12027778,14.878333,-0.0615858027388077
231,38.4519,112.7383,-0.0612928273310568
320,38.8632,115.493,-0.0611232867648475
1424,42.27807,-85.54189,-0.0572559673956751
1113,54.97825,-1.610528,-0.0563190336964064
200,30.6145,116.9896,-0.0559385848287615
22,43.8622,126.54,-0.0554633560893703
784,55.072222,24.283894,-0.0524972884331234
887,52.039023,4.359376,-0.0510955396039173
1341,29.625557,-95.26722,-0.050824448537427
943,47.05917,15.016667,-0.0507044242697197
497,28.2597,112.9792,-0.0498273816516026
361,32.4625,119.9189,-0.0496090633480635
1190,49.784339,22.756239,-0.0485489513846741
998,48.173194,11.648036,-0.0459398006819765
304,36.6116,114.5302,-0.0451746590400665
1247,35.0608,-83.4306,-0.0451375868385999
370,43.8325,125.1761,-0.0449372351713412
989,53.63074,10.110595,-0.044015424636984
1246,33.342224,-81.788734,-0.0436435973554961
1130,51.47707,0.317969,-0.0423244570491934
976,45.56472,5.928333,-0.0402959787833671
371,43.8447,125.3863,-0.0392999423343202
128,36.1937,117.1437,-0.037334854217516
1165,43.0819,-1.9127,-0.0371892365565885
1404,39.99139,-75.08083,-0.0358532934042903
204,38.8411,105.6985,-0.0354004445089005
520,30.1506,104.6356,-0.0348023845366926
917,47.72514,10.306561,-0.0327290044295293
806,47.128863,10.034324,-0.0309513229021121
365,43.7783,125.245,-0.0305556483008646
534,28.2053,113.0792,-0.0304580834102749
434,29.4758,113.2621,-0.0296008523542741
735,45.475327,4.515003,-0.0292348511588672
686,48.610363,7.781631,-0.0288239422789495
1333,40.06483,-74.44405,-0.0280508322571896
741,59.4944458,25.9305687,-0.0267934874293428
440,29.3547,110.5594,-0.0264044196981151
1208,44.386558,23.733658,-0.0263042807000522
733,48.051117,7.011114,-0.0251070830850799
1437,29.823318,-94.98379,-0.0247655521366713
122,36.8194,118.3092,-0.0239880264970132
812,47.27129,11.4169445,-0.0222644099218514
1078,41.03028,21.33667,-0.0219803883067511
40,32.1059,114.1099,-0.0190604615579331
349,45.7258,126.6411,-0.018994817799154
1184,51.525955,6.97688,-0.0181975795649057
880,45.0028,7.8375,-0.0181626584626504
357,32.1328,119.4303,-0.0176362587986468
1192,42.40538,1.13,-0.0171660697326863
995,53.56414,9.967882,-0.0167288755427123
936,50.85780611,4.288706017,-0.0161748930141708
809,45.83611,8.80417,-0.0159343962915559
1177,43.3665,-5.833,-0.0158815262119978
1354,40.814182,-79.56475,-0.0158641277514571
37,41.7166,86.1972,-0.0146823816170916
1050,46.522,6.63963,-0.0134471044561421
914,52.146264,14.638166,-0.0091555976388945
130,32.1195,114.0775,-0.0086499659204769
789,45.0249,7.6491,-0.0079596382910831
1370,42.51334,-83.005974,-0.0072187088863281
1330,40.92458,-75.06782,-0.0040601577849992
985,49.351124,8.423,-0.0020452056624669
572,38.4418,106.2266,-0.0003570020012373
1443,39.399837,-119.73961,0.0006885651221806
1185,51.536893,7.457409,0.0023568422578658
377,43.9027,125.2863,0.0035594675240323
272,37.0886,114.4704,0.0039924802197287
42,34.6258,112.4267,0.0042140152937447
315,31.8571,117.25,0.0046742632631711
966,51.406846,6.965589,0.0062077563171507
1291,39.9878,-79.2515,0.0063032423838955
544,39.7443,98.5061,0.007356226024371
626,34.3497,107.2058,0.0081851288930185
537,23.7233,114.6892,0.0089904081068307
704,45.569,8.1876,0.0096615898790066
1054,40.62984,-3.17159,0.0118207983215691
270,37.7124,112.469,0.015469632380326
1144,42.58194,12.62361,0.0157358507880872
1149,43.3094,-2.0109,0.0157545376586837
1173,50.900317,5.986853,0.0167690524073444
1141,49.672507,9.001981,0.0174421856133158
1436,28.332226,-82.30564,0.0184604621034112
1360,40.107224,-74.882225,0.0188320575228816
1134,45.736694,21.250808,0.0203285494976495
1020,45.560556,11.539722,0.0209222847173641
965,45.59667,5.918611,0.0243386792337655
