,CN_r,CN_p,CN_std,US_r,US_p,US_std,EU_r,EU_p,EU_std
0,0.11569914,0.00854299,0.028924785,0.204063212,0.004277942,0.051015803,0.112425165,0.018640852,0.028106291
1,-0.068829367,0.010708513,0.017207342,-0.032676087,0.032963284,0.008169022,-0.068180378,0.02324218,0.017045094
2,-0.213470454,1.14645E-08,0.053367614,-0.282087822,0.000286678,0.070521956,-0.102645619,0.020883169,0.025661405
3,-0.126906983,0.012388188,0.031726746,-0.120103982,0.045912892,0.030025995,-0.034065478,0.016234631,0.008516369
