,lat,lon,EVI2_Growing_Season_Area_1_co2_r
648,28.3611,112.9581,-0.2702857162721038
290,37.9854,112.549,-0.2701175903479786
496,26.5939,104.89,-0.2698398431187561
1398,27.939747,-82.000084,-0.2694957002945762
11,46.408,124.902,-0.2676271965650236
143,32.6494,110.78,-0.2672157302309478
323,33.575,119.007,-0.2671537561507681
188,30.5232,105.5582,-0.2663863773956871
1343,41.78472,-72.63167,-0.2613157856456358
1356,39.96111,-77.475555,-0.2597136619450398
423,32.0754,118.7997,-0.258570401025505
292,37.8692,112.5369,-0.2553502184494353
349,45.7258,126.6411,-0.2527988603784781
93,34.9976,118.2794,-0.2527759109500468
478,27.72,106.9178,-0.2514977187272728
578,39.1067,117.1941,-0.2512035960032464
454,29.6963,118.2903,-0.2470273499246326
495,28.1944,113.0014,-0.2458853040516765
630,27.9119,112.9074,-0.2445954493296167
1275,41.55523,-81.57526,-0.242959886086237
233,37.5136,111.1297,-0.2417341458076693
494,25.7759,113.0348,-0.2411804967119194
527,27.8914,102.237,-0.2411754574200908
1276,38.81194,-76.74417,-0.2405281642540697
1449,27.946688,-82.731766,-0.2361208169436245
46,34.7965,114.2885,-0.2355506867099438
212,41.5646,120.4521,-0.235451780454168
186,30.2981,109.4978,-0.2349919751994766
580,30.4519,114.8858,-0.2341535122352681
90,36.1031,103.631,-0.2339741686121014
9,44.6075,129.6364,-0.2331565890057696
1297,48.5103,-113.99681,-0.2317470637775195
1389,39.40745,-94.26537,-0.2313557911544106
459,31.656,120.734,-0.2296405848090454
136,34.4045,115.6458,-0.2278864983225104
1380,44.310555,-84.89187,-0.2236932371113045
121,36.4847,117.8525,-0.222481966868402
246,33.9477,116.7856,-0.2223922802397236
5,47.3227,123.9483,-0.22229163219463
1262,36.085506,-83.76481,-0.2210717061253684
278,39.5111,116.6708,-0.2203988286770836
299,34.80246,113.67526,-0.2186278697908396
51,30.7856,106.1064,-0.2172215574993674
287,33.9592,118.2442,-0.2170400999639278
326,45.7319,126.685,-0.2129803330599247
1339,38.8577,-77.05922,-0.2127573076018031
173,42.9559,89.1673,-0.2123717658133979
128,36.1937,117.1437,-0.2123634523935416
566,28.0089,120.634,-0.2114626700296388
1305,46.0519,-89.654,-0.2085724442618062
321,36.6133,114.484,-0.2078986255212626
95,36.1856,113.0844,-0.2024871447793367
1183,51.303394,6.819887,-0.199691920003643
1341,29.625557,-95.26722,-0.1983625833557732
49,33.737,113.2919,-0.1979799761004219
1092,48.19223,14.51954,-0.1971581899211788
539,28.3169,109.7325,-0.1969254478884881
381,39.8863,116.4072,-0.1965939300489109
1028,44.39703,8.20604,-0.1964235040147403
908,49.73508453,16.03419685,-0.1949745486455681
796,48.1061111,15.91944444,-0.1949457642473978
217,39.3278,112.4072,-0.1905263968749034
1289,35.379166,-82.7925,-0.1903510140391741
830,48.733256,19.115268,-0.1895584787428111
535,28.19,112.9394,-0.1881975635387472
1372,46.81826,-92.08936,-0.1880264994019852
1381,38.548138,-82.73116,-0.1867940539021984
1371,27.189215,-81.34035,-0.1859452028467562
219,35.5051,112.85,-0.1859385729116135
302,30.558,114.2529,-0.1839960256853963
903,50.37658691,13.32762241,-0.1834370183798927
484,35.546,112.8453,-0.1829617702140892
389,38.0058,114.4586,-0.1822162411089467
777,46.13111418,14.99611517,-0.1815917450268464
911,50.11108017,14.50309563,-0.1804538781049602
940,48.248993,16.357079,-0.1800235781889222
733,48.051117,7.011114,-0.1778262635471146
633,36.5819,101.834,-0.1754121761828665
295,40.762,114.8902,-0.1750911458247998
403,27.1312,114.99,-0.1750195754146308
1122,43.867496,18.423061,-0.1731022209183263
1411,34.623238,-82.53206,-0.1703873898536299
1190,49.784339,22.756239,-0.1693908354982511
874,45.60822,5.270872,-0.1689172370027101
927,54.88361,-1.406878,-0.1657958176597885
735,45.475327,4.515003,-0.1652365615145961
850,42.637192,23.243864,-0.1650491185561277
891,42.516944,1.56525,-0.1640880158185127
1109,54.334944,-0.80855,-0.1639997625800125
817,47.8055556,13.043333,-0.1623641752059939
319,38.9108,115.4713,-0.1620900617468578
1441,31.188932,-85.423096,-0.1612423396992754
1414,40.046665,-76.28333,-0.1576854675671504
34,34.3622,107.2386,-0.1569683985935107
1018,45.000278,9.009444,-0.1551273323325576
656,36.0822,111.5169,-0.1550442434730266
1023,47.44739,-0.550067,-0.1548688767565575
1070,48.889039,8.665536,-0.1543445953127309
1299,63.7232,-148.9676,-0.1525411325504404
1357,42.14175,-80.03861,-0.1525177650306415
715,43.6287,0.179069,-0.1523149030326333
315,31.8571,117.25,-0.1499965318139522
130,32.1195,114.0775,-0.1496137615374834
692,47.660056,9.485675,-0.1495702681657013
743,58.370556,26.734722,-0.1489034615705431
1006,51.27399,1.098061,-0.1486227989514404
754,49.744886,21.454617,-0.1475034862262138
1402,43.656765,-70.629135,-0.1474456508848254
458,31.381,120.999,-0.1459922648254095
1081,51.90158,10.48132,-0.1450678303895803
647,36.8406,118.0253,-0.1444819227774838
800,45.655,10.20083,-0.1437290105208192
695,49.50260925,18.53856087,-0.1434664563256415
1118,50.65844442,5.627835291,-0.142770914832399
930,51.746848,14.33447,-0.1419958550100691
1024,47.054443,-0.886111,-0.139505161141479
146,32.1142,112.1825,-0.1381440758970467
69,40.6655,122.167,-0.1369944474729335
1100,50.85671305,4.425760659,-0.1364901721957568
755,51.259431,22.569133,-0.1359589542723447
328,31.1654,121.412,-0.1353491067951717
893,45.7789,4.9247,-0.1350975151763594
182,36.5446,104.1724,-0.1350180246680115
297,36.3083,120.3999,-0.1339017166222123
693,43.30277777,-1.98444444,-0.1333593054495582
260,47.3382,130.1097,-0.1331594003836981
1166,41.04,21.3564,-0.1327695246748155
710,49.23290634,17.66717529,-0.1306502289853052
1209,50.912475,15.31219,-0.1301460949618129
1180,56.15976,10.19364,-0.1289628253299422
1045,41.932892,12.506947,-0.1282372498551384
1313,38.86067,-90.10585,-0.1279992592955181
894,50.159406,19.477464,-0.1274184440776538
1091,46.708333,14.891667,-0.1265729439591344
863,52.602056,11.850274,-0.1264984275431913
1274,41.53694,-81.45887,-0.1256189301156368
509,27.3125,105.2864,-0.1248134951854483
1207,38.748611,-9.148889,-0.1246880281267769
348,32.0551,118.7538,-0.1242047071394658
915,44.4122,8.1695,-0.1237171413513222
1259,29.767998,-95.22058,-0.1207113907538582
1251,35.59095,-78.4622,-0.1200657658686157
731,45.0419,7.6259,-0.1189440464476716
1059,48.18169,11.46445,-0.1184122928847128
683,45.6725,12.238611,-0.1175297381910007
1438,35.206112,-111.65278,-0.1170950873111408
1003,48.77586,5.162789,-0.1148495931332527
281,37.8873,112.5139,-0.1144365997833735
359,41.7406,123.505,-0.112788328779778
992,47.538193,6.868361,-0.1122750430141262
668,26.5161,106.694,-0.1116655709414646
1447,40.74529,-73.41919,-0.1102612489115374
464,31.354,119.818,-0.1100671428616448
1359,40.46542,-79.960754,-0.1091710794842393
806,47.128863,10.034324,-0.1091675258813838
457,36.253,120.014,-0.1078354241097962
913,50.08148193,14.4426918,-0.1077101991701391
1291,39.9878,-79.2515,-0.1045412764347805
759,45.84083,9.34889,-0.1037835286312496
1367,41.3014,-72.90287,-0.1027146206237628
833,47.71611111,13.63222222,-0.1026423912059017
409,27.7844,114.3956,-0.1008048641827663
1067,51.651166,12.302866,-0.1005988363997648
252,45.1214,124.8006,-0.1000415462760413
827,45.193889,9.164722,-0.0990970344510753
919,48.376576,10.88837,-0.0988683579078059
1191,48.445553,0.110833,-0.0981547418412678
124,35.4209,119.471,-0.0963536348345207
1144,42.58194,12.62361,-0.0956619627742154
1065,48.947611,13.420573,-0.0953681502206405
1008,45.42009,4.395422,-0.0950628681106133
14,31.6837,118.5092,-0.0948120966463964
1225,41.31347521,2.013824628,-0.0939437319456953
758,45.47833,9.23583,-0.0918970297270247
778,45.54301186,13.71352366,-0.0916096166498736
218,33.6406,114.6369,-0.0907955333965175
855,42.142889,24.765239,-0.088871953607783
1320,40.136337,-111.6605,-0.0886020763298895
654,28.4586,119.93,-0.0884916292201358
155,31.737,116.5079,-0.086066664178719
772,45.515278,10.219444,-0.0855734094774737
627,22.5978,114.297,-0.0845382845838718
500,30.2798,109.4707,-0.082704042405223
109,42.2816,118.9233,-0.0822640639505686
1097,51.05833172,3.729298172,-0.082125154385316
1307,43.7775,-91.2269,-0.0810198386337028
614,32.1873,119.4424,-0.0807750022397188
904,50.78944397,14.08679867,-0.0800652830821727
88,34.3474,108.935,-0.080008776570833
571,25.0492,101.538,-0.0790481586974442
193,30.0475,101.9603,-0.0788895283143903
1453,32.41281,-86.2634,-0.0788355132561123
1029,42.53417,12.52194,-0.077561988235906
347,32.0745,118.7794,-0.0773658324285766
503,26.2331,111.6236,-0.0767963888041499
380,38.8639,115.5086,-0.0761289001013528
675,48.962223,4.36,-0.0758225256751101
1177,43.3665,-5.833,-0.0748673275240357
1400,30.439722,-84.34639,-0.0735070294079411
881,51.468662,5.47235,-0.0733925082491957
886,53.246535,6.608937,-0.0733426444932173
383,39.9611,116.2878,-0.0731992546102159
1126,49.079012,19.3025249,-0.0726624263399286
1433,40.56252,-80.503944,-0.0725590678254362
1021,45.89,0.9,-0.0688195706654754
752,45.3189,8.4024,-0.068186835484973
126,37.5433,121.3719,-0.0671397481609215
361,32.4625,119.9189,-0.0671324839026391
558,29.7535,116.0721,-0.0651671975332802
4,47.3386,123.9488,-0.0646622509716213
846,47.105278,17.556667,-0.0637757838387001
858,42.732292,23.310972,-0.0621245351472097
1181,50.30886,2.807369,-0.0617587571251934
1105,59.399355,18.077416,-0.0613272444036221
792,45.760833,11.736667,-0.0602032972206007
997,55.862281,-3.205782,-0.0599635792500378
1005,44.7037,8.0333,-0.059856419352319
451,26.4365,106.6555,-0.0594754642070453
1385,38.11515,-86.60325,-0.0591157367005933
619,30.9413,117.7807,-0.0590374832187822
1014,50.32276,3.39593,-0.056777612772195
1408,40.3663,-80.6158,-0.0567348378295212
1036,51.360755,9.271233,-0.0536233169405284
1292,35.320107,-97.4841,-0.0523087877388598
722,49.40619,1.15515,-0.0502493326328853
1364,36.060894,-86.28629,-0.0473819706835528
277,39.5269,116.7244,-0.047193618073703
1004,51.52229,-0.125889,-0.0455058314351876
517,27.5578,109.9972,-0.0450567714000822
984,54.09323,10.240596,-0.0444867836619169
887,52.039023,4.359376,-0.0441448795070311
729,46.072224,5.820833,-0.0435691720078415
1080,50.970024,9.80026,-0.0434576310851122
853,41.694342,24.738078,-0.0413536821539191
952,46.951,7.44087,-0.0413476289996222
937,57.8634,11.9216,-0.0410044522206684
995,53.56414,9.967882,-0.0398560524580385
1157,47.594913,7.568175,-0.0396793039519519
1189,46.1625,12.360833,-0.0378817852322465
1052,57.70902,11.970241,-0.0371257237292062
565,26.1028,119.2984,-0.0354576648147246
1117,51.0612777,3.77526239,-0.0346525221107008
809,45.83611,8.80417,-0.0319384258170674
53,30.3544,112.2008,-0.0317360613465154
860,43.28334,5.511384,-0.0293705813101241
141,30.2092,115.0307,-0.028348798109745
242,32.8911,117.4185,-0.0258814903256989
466,31.4,119.46,-0.0254806114576383
74,41.1489,122.0303,-0.0242249493447182
283,33.6067,118.989,-0.0238684028444654
97,35.2375,115.4747,-0.0232998698685979
804,48.124711,17.125496,-0.0225681871547126
951,47.4387,8.57012,-0.0213914237299617
685,48.85731,7.314175,-0.0210376833799983
263,46.5656,131.12,-0.0206054038290551
784,55.072222,24.283894,-0.0199386312994031
172,42.9418,89.1904,-0.0192087524330791
1055,49.73244858,13.40228081,-0.0186315370403607
1194,49.18742,6.910867,-0.0177159363758863
773,48.40861,15.619166,-0.0167254811704794
1094,55.46333313,26.00416946,-0.0161429230070623
1349,43.1818,-87.901,-0.015498283277025
966,51.406846,6.965589,-0.01489341130159
1344,41.84046,-72.01037,-0.0146241597821003
1393,33.578335,-86.77389,-0.0143492290671212
671,45.499167,12.262222,-0.0140437081432165
1329,32.726658,-103.12292,-0.0136248094306029
628,34.5023,109.4259,-0.013349290337709
707,43.230297,0.062339,-0.012286749457425
781,48.167961,17.106244,-0.0118260114937203
1133,49.07655,8.40666,-0.010342616627702
962,45.957778,12.618611,-0.0097330609260194
1290,35.587143,-83.07416,-0.0075352996835601
1311,40.712776,-81.598335,-0.0067745981605526
322,36.6114,116.9862,-0.0059834135914267
1250,44.18089,-85.73898,-0.0057949514836791
384,40.135,116.6636,-0.0049100900709827
787,49.50504,5.97694,-0.0046764399662934
1063,48.326013,10.903051,-0.0019877917761027
1403,29.939613,-89.92388,-0.0019678206055259
256,45.3001,130.9762,-0.0017573356861074
834,48.257474,13.03923,0.0002596123908222
1046,40.33639,-1.10667,0.0028519500596353
979,51.396095,12.234054,0.00414364541734
1395,33.545277,-86.549164,0.0043962808154593
1047,51.862042,6.874469,0.0050110960338483
1286,36.02661,-80.341965,0.005020981887108
764,45.869995,1.31,0.0052611281088881
369,45.8167,126.561,0.0055941939401825
1397,33.331112,-87.00361,0.0062240784523728
1175,46.329586,-0.458889,0.0069846985650331
518,29.5844,103.7627,0.0072127831594639
1051,46.2311,6.07417,0.007711406636833
1390,38.65643,-90.19835,0.0080858810183856
1445,35.988277,-77.5843,0.0096106263250174
1108,40.3419,-3.8337,0.010224965421908
435,29.355,113.2117,0.0104419497073653
574,38.497,106.1015,0.0104850038589711
662,35.4887,112.8508,0.0105721209614504
983,41.947654,12.533667,0.0126397013462127
1040,53.060045,8.916966,0.0152844902077944
1078,41.03028,21.33667,0.0156252294590893
1310,45.2384,-86.994,0.0168840406864136
1413,41.094967,-85.101814,0.0175184238724581
1294,44.735977,-68.67075,0.0180788775743495
934,47.5292,9.9267,0.0209869153209101
1309,45.56498,-88.80859,0.0224907574323754
192,33.8715,109.9154,0.0227868011454756
1195,50.0075,20.259167,0.0239543872952131
1158,51.748103,18.04931,0.0244328410783258
965,45.59667,5.918611,0.0253744285323358
1446,43.670834,-110.59947,0.0255330253942652
1391,39.749027,-86.18627,0.0257298825730198
372,38.8661,121.5213,0.0260089216629884
856,42.680558,23.296786,0.0262095844743681
1263,36.019184,-83.87381,0.0271151974641732
805,46.05184,11.45389,0.0274551174013635
801,45.463333,10.480833,0.0276648573393838
1260,32.82006,-96.860115,0.0287158079782669
783,41.669172,13.674326,0.0293081538683499
1302,37.1655,-78.3069,0.0297853931852514
1039,50.766815,7.973542,0.0298768146221033
1098,51.15013609,3.80873543,0.030300931921321
296,40.8336,114.8883,0.0314391270316385
33,34.3739,107.1186,0.0334385587288056
981,50.731478,13.75145,0.0335092451418837
1066,45.263142,27.969506,0.0343564697851894
700,43.610497,2.23015,0.034429172436998
808,48.782852,20.987197,0.0369358858608915
426,37.3753,97.3731,0.0378639726223788
433,32.0931,118.6414,0.0379220997513389
1165,43.0819,-1.9127,0.0382664049983247
453,26.567,101.7227,0.0392186990479576
548,28.9666,118.8709,0.0393494544941752
452,24.5058,118.0936,0.0417301364647106
866,50.979455,11.037924,0.0424736583847456
249,30.97,117.8483,0.0426975588078866
1229,47.3815,8.56592,0.0433844779067901
42,34.6258,112.4267,0.0434416312033378
975,49.628771,8.364779,0.0437876291274299
156,31.7643,116.4738,0.0453425434924706
837,44.73473,9.36693,0.0454740799980501
950,50.46519216,3.939714326,0.0476859206930689
1107,50.6134125,5.570222814,0.0506563148474885
1176,44.825,11.649722,0.0510032813628136
1256,39.48599,-87.40131,0.0515782952511264
799,47.09436111,15.41511111,0.0517625888983173
490,36.864,118.78,0.0519866545262036
677,43.2561,-5.7759,0.0520384744499626
197,38.2839,109.7289,0.0522884214585595
145,32.0564,112.1392,0.0525676719876292
1204,41.886019,12.541618,0.0530537174728955
1218,51.028931,7.004976,0.0534750235596268
226,39.9289,116.4174,0.0543360326832357
958,47.0495,6.97915,0.0553750961832896
305,39.9041,119.5251,0.0559982877310088
445,27.6253,113.8493,0.0562632335491742
935,50.88369465,4.382977505,0.059197832511605
765,45.809998,2.06,0.0614085469173742
286,33.9528,118.293,0.061987476636591
1241,35.507225,-82.96362,0.0627785230762162
1422,44.616943,-86.109406,0.0648835003972643
686,48.610363,7.781631,0.0658078221657062
1072,49.634841,9.657919,0.0686679628115373
1002,53.37287,-3.022722,0.069534558929986
1116,51.34879529,4.339709947,0.0707364620271989
705,45.5588,8.0564,0.0708586702087913
345,34.2384,117.1918,0.0718169105651744
964,49.300731,8.700103,0.0720450070358762
1131,46.112775,24.22805,0.0728133501711617
313,31.7848,117.1959,0.0733763803497298
1269,44.351696,-68.22698,0.0740762283932703
985,49.351124,8.423,0.074232042553133
961,50.79664963,4.358623958,0.0746361440015254
967,53.480927,9.857223,0.0748886043263198
1174,52.077148,4.289185,0.0763557051618877
473,26.6272,118.1756,0.0763806223304268
1337,38.20087,-77.37742,0.0775155308401487
198,32.6939,109.0281,0.078489563778458
1265,35.233475,-85.18158,0.0787722612128955
678,50.836389,19.130111,0.0794502640865984
1062,51.321364,12.032141,0.0797828187322251
1340,29.723333,-95.63583,0.0802011901926643
414,26.585,101.7169,0.0802059911875156
1351,29.733727,-95.25759,0.0819147615996297
1145,50.42864609,14.91385937,0.0824950930962352
870,52.800773,10.756733,0.0828150063510683
303,36.5713,114.4918,0.0829765006489369
167,30.4742,114.9028,0.0832866401075851
1185,51.536893,7.457409,0.0834278099347569
797,46.7675,15.956111,0.0844208073759852
1044,53.064262,14.285139,0.0857922280936922
270,37.7124,112.469,0.0862420225283085
825,48.04944444,14.44277778,0.0864622007213389
865,50.978292,10.317236,0.0892331452658066
139,30.2006,115.0817,0.0902757608804638
1020,45.560556,11.539722,0.0903247741113717
245,32.633,116.8281,0.0908691565966632
71,40.1503,124.4256,0.0915159585498619
1330,40.92458,-75.06782,0.091633949745391
925,52.99875,11.73846,0.0919391388775561
516,27.5342,109.9781,0.0921997988109672
988,47.34414,0.653778,0.09343947027628
1169,45.84299,13.54308,0.0936587418451203
688,45.1828,5.7531,0.0943106248003917
949,50.81487387,3.322494319,0.0953669774101729
1338,38.48123,-77.3704,0.0960045772763081
1322,40.816,-73.902,0.0972807024840587
831,45.148333,9.940278,0.0980029885610878
1423,35.43477,-83.44213,0.0990023099909621
1146,49.514959,8.402331,0.0990123711093516
991,47.2474,6.015419,0.1006284559054358
463,31.909,120.237,0.1009786349259771
127,36.7023,119.1437,0.1013763485148166
1386,41.81305,-88.07283,0.1016083303147146
933,46.401944,13.011111,0.1024789737576776
1217,53.24696,10.4565,0.1025270522570794
976,45.56472,5.928333,0.1033260188079167
780,46.58967,11.43317,0.1046937102775349
1323,43.14618,-77.54817,0.1058513979039389
