,lat,lon,EVI2_Growing_Season_Area_1_aot40_r
481,27.8403,112.9118,-0.7040578012244804
1042,53.924712,9.532635,-0.7027588465292308
210,42.2217,123.7153,-0.7023000608720328
1287,36.109005,-79.802315,-0.7021093647061578
1293,35.614132,-97.47508,-0.700614892594762
1188,53.59617,8.09059,-0.699977221534458
668,26.5161,106.694,-0.6979543487870822
731,45.0419,7.6259,-0.6978398775222331
719,47.27476,4.099476,-0.6976577716818957
302,30.558,114.2529,-0.6976253084689519
1237,41.9356664,2.238568301,-0.6935956256613989
1164,43.675114,4.62921,-0.6918364882152184
1215,53.694628,19.968892,-0.691115118908557
163,35.303,113.883,-0.688140215030514
1065,48.947611,13.420573,-0.6869786436841353
1346,39.4125,-107.23056,-0.6864814788817367
416,28.2264,117.0222,-0.6844174168493004
975,49.628771,8.364779,-0.6841299616309738
321,36.6133,114.484,-0.6823920459900371
508,28.1308,112.8908,-0.6822450809328803
716,49.94498825,17.90953064,-0.676788562164218
964,49.300731,8.700103,-0.6760837731628837
1439,39.310833,-76.47444,-0.6745820540901617
778,45.54301186,13.71352366,-0.6743753034700092
1417,41.705227,-76.512726,-0.6735876857494052
1427,39.52508,-119.80772,-0.6718991967915956
28,34.6886,112.494,-0.6716401135195953
811,43.39873,6.075611,-0.6709990948782544
807,47.410164,9.653713,-0.6704815176105521
388,38.0178,114.5331,-0.6699960408070506
1367,41.3014,-72.90287,-0.6695652799036769
870,52.800773,10.756733,-0.6668933121915176
1024,47.054443,-0.886111,-0.6659176230928933
1144,42.58194,12.62361,-0.6658048059415003
1002,53.37287,-3.022722,-0.6632116408574708
356,41.8411,123.5903,-0.6612996799743485
1399,32.362606,-88.27799,-0.6601542427393325
351,32.4639,119.888,-0.6593737152181934
952,46.951,7.44087,-0.6586854193566187
162,35.7306,114.2878,-0.6576360474029367
25,41.3472,123.8142,-0.656797000124301
18,41.8491,123.7977,-0.6545529241515883
1139,50.66109467,14.04306316,-0.6544563990622931
758,45.47833,9.23583,-0.6537569076452434
595,34.4285,115.6702,-0.6522271863448036
86,34.2173,108.9356,-0.6492344207097519
205,41.998,121.6094,-0.6490019235389183
1225,41.31347521,2.013824628,-0.6478928655991176
550,30.3714,114.8989,-0.6474182988180706
740,45.474156,28.034406,-0.6441417841951717
1099,57.810833,15.564736,-0.6434535423146894
998,48.173194,11.648036,-0.6417907893339068
598,26.4214,111.6156,-0.6416798728156327
1049,50.877923,12.0749,-0.6413690996278424
76,40.7514,120.8392,-0.6398802244202629
1044,53.064262,14.285139,-0.6392393185752533
604,25.8481,114.9461,-0.6383527652001302
202,41.2991,123.149,-0.6382603019692616
1054,40.62984,-3.17159,-0.6374718444805991
352,32.1875,119.6707,-0.6363894894787088
1040,53.060045,8.916966,-0.6352173160067976
160,35.9019,114.17,-0.6348028373923293
1249,36.306965,-79.09197,-0.6347630508242053
372,38.8661,121.5213,-0.6331061541305764
1048,43.5589,-5.9275,-0.632579020634498
106,37.8731,113.4894,-0.6312781784730565
938,56.672901,12.8576,-0.6309529815684611
880,45.0028,7.8375,-0.6299161647554712
178,44.2967,86.0497,-0.6263049057313625
1086,50.13577,8.92157,-0.625698901702687
989,53.63074,10.110595,-0.6256941052945894
1077,43.21291,-3.1344,-0.6246554242119192
912,50.04613113,14.33141327,-0.6235075391034403
624,35.878,120.005,-0.6233354993115177
670,28.687,115.8518,-0.6231114600139986
795,48.2702,16.2972,-0.6227048897978055
122,36.8194,118.3092,-0.6225456491823205
168,37.9956,106.1856,-0.6221923655852546
1021,45.89,0.9,-0.621653903393151
1352,31.893913,-106.42583,-0.6215881386194537
648,28.3611,112.9581,-0.61817769807696
1186,44.564972,27.366081,-0.6172173654652311
756,43.16832,-2.63794,-0.6171355020944599
373,43.79,125.4605,-0.6170014625339454
470,26.2714,117.635,-0.6168783694969968
963,49.462229,11.0248,-0.6162229356032618
1128,45.371944,11.841944,-0.6148441045540163
971,49.438464,12.548869,-0.6105371771095603
1112,44.92467,10.5172,-0.6086173357824649
995,53.56414,9.967882,-0.6080485285637695
568,38.8959,115.5213,-0.6064909812117054
591,36.61763,114.5129,-0.6056366679105963
242,32.8911,117.4185,-0.6030431583346124
189,31.1986,107.5082,-0.6011393629357114
377,43.9027,125.2863,-0.6008689565823531
432,29.7228,106.6263,-0.6001633449214907
602,44.0114,87.2997,-0.6001002610969557
646,36.6331,117.9592,-0.5993022844883813
910,49.20272446,16.61628723,-0.598275664786517
475,29.3867,117.3102,-0.5965213054878582
137,32.9771,113.9976,-0.5959528451115546
1338,38.48123,-77.3704,-0.5958187376264431
904,50.78944397,14.08679867,-0.5946769686481985
861,46.765425,23.550258,-0.5926938465479262
221,35.4897,112.8676,-0.5917148381747845
1032,45.60222,9.27611,-0.5913091137016937
801,45.463333,10.480833,-0.5893199760109332
487,46.098,85.6979,-0.5885942765898474
713,53.028647,18.666103,-0.5841266875532515
1084,52.25534,8.05286,-0.5841010756329296
376,43.8463,125.2841,-0.5839515852288998
1082,50.16443,9.399441,-0.5824833517583322
1450,43.34317,-87.92087,-0.5810820101434886
41,35.0697,109.0697,-0.5801724891073581
11,46.408,124.902,-0.5763134547980524
531,29.5822,105.0406,-0.5749506003018906
1,41.1442,123.0485,-0.5740778654598525
1291,39.9878,-79.2515,-0.5725413642167252
1235,40.3597,-3.5429,-0.5719993475241815
121,36.4847,117.8525,-0.5716683462656968
1162,45.96141,4.465711,-0.5703335017372616
1370,42.51334,-83.005974,-0.5682983723620307
634,36.6428,101.748,-0.5665324661993593
1236,42.44,-2.239,-0.5661068876793622
972,46.934128,26.38925,-0.5660287515639084
353,41.7867,123.4678,-0.5638426867528267
866,50.979455,11.037924,-0.5619611642758735
781,48.167961,17.106244,-0.5617314975035756
325,33.5981,119.036,-0.5589058496803887
930,51.746848,14.33447,-0.5577725047015171
1029,42.53417,12.52194,-0.5573144238957142
973,49.446,7.7673,-0.5564598220790172
307,30.6189,114.282,-0.5553321482463388
943,47.05917,15.016667,-0.554690317958246
757,43.15333,-4.25306,-0.5536458778785384
309,36.0658,120.4134,-0.5536299291970739
1037,49.83918762,18.26368904,-0.5533844683434781
691,48.001511,7.832122,-0.5528757479194829
775,46.06554495,14.51272032,-0.5522343468857887
75,40.7136,120.9092,-0.5518834083020243
313,31.7848,117.1959,-0.5510774205549235
638,23.0822,114.4053,-0.547882193700261
212,41.5646,120.4521,-0.5466779742625592
565,26.1028,119.2984,-0.5454901117801272
917,47.72514,10.306561,-0.5448205252493771
88,34.3474,108.935,-0.5446251159535028
1159,49.851334,3.284,-0.5441021061634403
1199,43.650722,25.363583,-0.5431328229623039
876,44.99694,11.07083,-0.5425928264911836
1440,47.5525,-122.06472,-0.5422877189694555
525,37.5072,122.1067,-0.5415991355089609
1205,39.48963,16.3868,-0.5393937890568092
61,41.0931,123.011,-0.5369751727955396
1323,43.14618,-77.54817,-0.5339359076879793
982,50.892377,14.822846,-0.5339141232948652
415,28.9634,105.4324,-0.5336539102217142
132,33.6347,114.6758,-0.5335009676510585
27,40.8434,121.0533,-0.5324501684740683
913,50.08148193,14.4426918,-0.5308738592555405
898,47.737415,7.309075,-0.5306543046163231
687,45.183611,11.311389,-0.5304572942640609
608,27.5444,109.9453,-0.5304418617749715
674,50.007629,18.455548,-0.5294089034605164
865,50.978292,10.317236,-0.5290223382152991
199,30.2756,118.1371,-0.5287056083088761
980,51.317905,12.297411,-0.5280517809156964
231,38.4519,112.7383,-0.5259539510249495
1092,48.19223,14.51954,-0.5259078521601891
794,65.04338,25.4979,-0.5256807772545372
282,30.1808,120.0883,-0.5240107114227553
819,45.6642,8.1598,-0.523928251952728
218,33.6406,114.6369,-0.5232149392032954
188,30.5232,105.5582,-0.5229808460459454
1397,33.331112,-87.00361,-0.5221588409890354
457,36.253,120.014,-0.5213674789013535
493,31.9037,102.224,-0.5192373875940248
1025,40.67354965,22.89343834,-0.5170963362973787
30,36.6106,109.5056,-0.5152699397611897
79,35.0532,118.3429,-0.5144858744090158
808,48.782852,20.987197,-0.511114662918984
295,40.762,114.8902,-0.5108745481540301
522,36.1758,117.1089,-0.5087077849358234
610,30.8955,120.0875,-0.5084169818889893
1062,51.321364,12.032141,-0.5079566259606109
386,40.217,116.2296,-0.5066891147068469
1023,47.44739,-0.550067,-0.5063456036563231
772,45.515278,10.219444,-0.5058540355828772
305,39.9041,119.5251,-0.5047412688521785
0,39.8784,116.3621,-0.5030211448169017
506,27.7344,109.1839,-0.5024192914806471
567,26.0746,119.317,-0.5018654364863626
689,43.25055555,-2.155,-0.5013746026238617
227,37.7067,112.7249,-0.5010297327863142
606,27.3033,111.5239,-0.5003093324768754
115,34.7837,117.2852,-0.5001997254908093
981,50.731478,13.75145,-0.4997320990267264
304,36.6116,114.5302,-0.4970450149853483
974,49.841221,7.866222,-0.4955346882262841
401,28.793,104.563,-0.4919742080939264
67,40.7094,122.2703,-0.4919192970556297
547,44.5782,129.6115,-0.4910906800766951
1256,39.48599,-87.40131,-0.4892669235779504
1114,51.45258,0.070766,-0.4884497958627085
561,29.6547,116.0172,-0.4874754367846811
1276,38.81194,-76.74417,-0.4853256294682685
222,39.3522,112.4397,-0.4839425042879566
236,32.8977,117.3145,-0.4837462218735579
551,33.015,114.0114,-0.4813827600291524
1202,42.284,21.2738,-0.480798723866652
104,36.0714,111.5028,-0.4779753648582143
1026,43.623608,1.438531,-0.4773871043629232
1030,50.5976,-3.71651,-0.4773472184803066
203,43.9311,116.0781,-0.4761838878090671
985,49.351124,8.423,-0.4749368746036921
256,45.3001,130.9762,-0.4746731628527653
684,50.010575,19.949189,-0.4744826426854657
842,47.091111,17.901122,-0.4733432206700322
937,57.8634,11.9216,-0.4726115597306474
1394,33.553055,-86.815,-0.4723976422545888
535,28.19,112.9394,-0.4723350345195365
1104,51.75816,10.61248,-0.4708145922032019
1454,39.96528,-76.69945,-0.4703341265019622
207,41.1953,123.2,-0.4701110249212825
569,26.8906,100.2203,-0.4692919893542523
244,46.8032,130.3648,-0.4688262092878855
451,26.4365,106.6555,-0.4653408374413466
1404,39.99139,-75.08083,-0.4650322262401105
1380,44.310555,-84.89187,-0.4641963738491835
1428,30.260279,-81.45361,-0.4639032511748088
245,32.633,116.8281,-0.4636188705527637
1009,55.79216,-3.2429,-0.4630745394453467
1453,32.41281,-86.2634,-0.4628206527346833
348,32.0551,118.7538,-0.4625748240538008
760,47.594257,1.302667,-0.4624992045222738
692,47.660056,9.485675,-0.4614289835285276
465,31.737,119.579,-0.4609775341877488
1200,43.89555,25.956575,-0.4600814828304915
70,40.0625,124.3303,-0.4582221117423328
643,37.4442,118.5857,-0.456700876998407
1180,56.15976,10.19364,-0.4562943961404743
283,33.6067,118.989,-0.4560982970812514
590,37.9844,106.2025,-0.4527179674667178
1028,44.39703,8.20604,-0.4512534413120279
839,48.247222,20.616403,-0.449921403972377
620,27.7314,112.0194,-0.4498499639289746
721,45.916943,6.135556,-0.4486128006241084
124,35.4209,119.471,-0.4471014191148163
194,33.0706,107.0154,-0.4467282858286883
962,45.957778,12.618611,-0.4463533061520959
846,47.105278,17.556667,-0.4444125492059959
868,47.739919,26.658519,-0.4434245691312618
546,30.9285,113.9153,-0.4426725207709674
1300,33.43395,-84.16181,-0.4405238755491441
845,47.561944,18.960008,-0.4399723561174967
530,31.2827,107.5277,-0.4396399909729968
667,26.6027,106.7109,-0.4392340589379291
644,37.4658,118.5019,-0.437959340659911
469,30.8388,106.1087,-0.436326082225564
1070,48.889039,8.665536,-0.4344359675838406
180,36.1911,113.1569,-0.4331574935052272
635,23.691,113.0426,-0.4311714775272141
17,41.0821,123.022,-0.4309392318763879
57,31.1317,104.3826,-0.4301005850681822
549,28.9398,118.8692,-0.4265500957537788
1347,37.71325,-119.7062,-0.4253181256830018
1053,50.125332,8.746343,-0.4243148846011529
869,47.913256,7.908035,-0.4224546478304017
403,27.1312,114.99,-0.4199238761315335
154,32.8605,115.8554,-0.4198365976945958
1109,54.334944,-0.80855,-0.4186508009161178
1154,41.66638888,-4.715,-0.4179817827550737
19,41.8822,123.9161,-0.4173125606306584
138,30.2313,115.0601,-0.4171200352010573
1069,52.398406,13.368103,-0.4155363253005965
208,41.2495,123.1683,-0.4123990768671529
955,47.4067,9.39438,-0.4118655352186476
825,48.04944444,14.44277778,-0.4095754292228821
37,41.7166,86.1972,-0.4093486871650137
60,41.0971,122.9642,-0.40891787185674
164,35.7636,115.0312,-0.4072918547786626
793,47.06701111,15.49368889,-0.4064593890095874
914,52.146264,14.638166,-0.4063615024741721
78,36.229,117.6795,-0.406067234905447
271,37.0851,114.5237,-0.4044613089613679
818,45.772167,3.0875,-0.4044175237826797
1018,45.000278,9.009444,-0.4043294691270154
33,34.3739,107.1186,-0.4016113558543956
439,29.1217,110.5319,-0.399470669552308
1145,50.42864609,14.91385937,-0.395533431078898
693,43.30277777,-1.98444444,-0.3948697416836097
99,40.0844,113.2711,-0.3940206088175098
519,30.1383,104.6295,-0.3932211993851731
681,48.847917,10.096292,-0.3905207751547079
398,29.7166,106.6205,-0.3887217624759823
175,42.8328,93.4961,-0.3884822967856907
698,49.77012634,13.36822128,-0.3878218876076464
988,47.34414,0.653778,-0.387668849085041
759,45.84083,9.34889,-0.3856281544389713
903,50.37658691,13.32762241,-0.3851808134824238
857,47.430833,19.184175,-0.3851049165873103
367,45.7733,126.689,-0.383735656858888
263,46.5656,131.12,-0.3831249406113586
1167,44.92008,2.441082,-0.3829169227155332
891,42.516944,1.56525,-0.3811887594473202
909,49.41123199,14.67638874,-0.3810094556587639
1118,50.65844442,5.627835291,-0.3800245609601324
357,32.1328,119.4303,-0.3777933831147155
69,40.6655,122.167,-0.3772160118955031
574,38.497,106.1015,-0.3769183191760945
685,48.85731,7.314175,-0.3767314692762339
966,51.406846,6.965589,-0.3762788559021113
1348,34.454514,-94.143524,-0.3748543437787514
261,46.6191,131.1652,-0.3742488643796208
379,30.6319,114.135,-0.3715466933213793
738,45.431539,28.054742,-0.3715446679243746
766,45.848333,11.569167,-0.3703047983452251
378,43.9166,125.3325,-0.3684931510033288
42,34.6258,112.4267,-0.3679881368035618
192,33.8715,109.9154,-0.3654545855721125
315,31.8571,117.25,-0.3653030478957489
1190,49.784339,22.756239,-0.3651963916344601
1431,40.73614,-73.82153,-0.3648499918657609
358,41.6989,123.4231,-0.3641316872860851
484,35.546,112.8453,-0.3621508908962843
527,27.8914,102.237,-0.3620435017517074
654,28.4586,119.93,-0.3610943021440503
1292,35.320107,-97.4841,-0.3607643076155847
669,29.4251,113.1493,-0.3584621770575142
717,43.404011,21.947746,-0.3559992277917325
653,29.6277,106.6556,-0.3551565980783634
783,41.669172,13.674326,-0.3550084488472634
53,30.3544,112.2008,-0.3532006032494131
1056,43.1788,-6.5527,-0.3531080680319546
404,24.8886,102.8204,-0.3528516153600928
489,36.881,118.746,-0.3526821412180533
835,48.39167,13.67085,-0.3514934702555409
16,43.8358,126.5844,-0.3512188093923558
345,34.2384,117.1918,-0.3497110740193295
1041,51.462734,13.526796,-0.3477647446490332
843,43.223044,27.587239,-0.3469139229634114
1134,45.736694,21.250808,-0.3461363648746141
9,44.6075,129.6364,-0.3442311005769845
402,29.4906,106.6349,-0.342955728287195
6,47.2988,123.945,-0.3416486101235751
1165,43.0819,-1.9127,-0.3412257726727365
925,52.99875,11.73846,-0.3411159162878844
1371,27.189215,-81.34035,-0.3402423076028157
923,51.054558,12.141322,-0.3386689965901095
287,33.9592,118.2442,-0.3363413246415623
1087,50.383217,8.060998,-0.3352560999198758
641,24.7791,113.6735,-0.3335365021841229
741,59.4944458,25.9305687,-0.3327460836676055
413,28.7199,104.5742,-0.3308622126649597
48,33.742,113.3257,-0.3302849711016844
539,28.3169,109.7325,-0.3302337021773404
390,39.9136,116.184,-0.3291946927521016
948,46.6775,12.972,-0.3288335335682005
1124,45.690278,9.643889,-0.3280301497526376
840,54.68611145,25.2108345,-0.3258172998213995
228,37.6982,112.6991,-0.3253036142715405
1052,57.70902,11.970241,-0.3252807028950811
1248,41.4271,-80.1451,-0.3237677279278638
52,30.3197,112.2494,-0.3198643814296568
707,43.230297,0.062339,-0.3153814723911347
488,43.9174,81.2996,-0.3153158636728632
817,47.8055556,13.043333,-0.3126140812249282
957,47.0674,8.46333,-0.3118477089247804
155,31.737,116.5079,-0.3111541597521067
890,47.2225,-1.5375,-0.3108564736971655
1447,40.74529,-73.41919,-0.3103601830017727
420,28.1136,116.9822,-0.3083678503651129
270,37.7124,112.469,-0.3067572294261181
1184,51.525955,6.97688,-0.3040356981395498
573,30.4663,106.6271,-0.3010307911288007
1386,41.81305,-88.07283,-0.3006950567216686
748,43.2941,-5.6796,-0.3004767439512457
149,33.5698,114.0055,-0.29972432341283
1214,45.297325,27.949461,-0.2991763136778873
1008,45.42009,4.395422,-0.299035234181645
359,41.7406,123.505,-0.2984177896561754
472,35.176,113.2467,-0.297758154968077
897,60.22393,25.10244,-0.2952443679325598
584,41.7173,125.9358,-0.293713755945485
729,46.072224,5.820833,-0.2937018981417097
867,51.207944,10.450997,-0.2920791624323267
749,43.313,-7.6937,-0.2917102267223223
464,31.354,119.818,-0.2904609653128424
171,35.5307,106.7021,-0.2899051779990613
1166,41.04,21.3564,-0.2878891126871025
201,30.5119,117.0331,-0.2864587001732197
1119,45.623056,13.7875,-0.2853333085441787
65,40.6288,109.8642,-0.2846544159859299
369,45.8167,126.561,-0.2845184481428824
555,31.7231,118.5228,-0.2815698314158518
1389,39.40745,-94.26537,-0.2801904081668911
1259,29.767998,-95.22058,-0.2785179040854058
1106,50.84971052,4.33410368,-0.2777472556015872
720,47.3456,5.002377,-0.2769450620795198
944,47.04472222,15.15277778,-0.2764348246943753
992,47.538193,6.868361,-0.275378164552265
1177,43.3665,-5.833,-0.2741361849725942
382,39.9295,116.3392,-0.2724753328495442
494,25.7759,113.0348,-0.2721117611496268
1257,41.182465,-81.33048,-0.2708832785631892
1017,53.187222,-6.121667,-0.2706306173716647
296,40.8336,114.8883,-0.2700767783493449
314,31.8707,117.2588,-0.2689274115229799
1364,36.060894,-86.28629,-0.2652914482629869
711,49.04781723,18.00782776,-0.2645302000493583
708,43.09625,-0.040497,-0.2643141747970029
951,47.4387,8.57012,-0.2627294816361407
289,30.4183,120.3019,-0.2614837363966734
123,34.5578,117.7276,-0.2607168983020796
747,46.671307,5.556806,-0.2593755625546384
179,44.3075,86.0697,-0.2589873677348862
1297,48.5103,-113.99681,-0.2581123658763291
185,31.6908,113.3833,-0.2574771770729225
1153,41.63528,-0.89361,-0.2572565361260356
690,44.3818,7.5382,-0.2555119501625748
423,32.0754,118.7997,-0.2537426158363948
1298,64.84569,-147.72742,-0.2536669491665315
264,47.4311,128.5159,-0.2534492081616267
990,42.697918,9.446417,-0.2518055635522016
