,lat,lon,EVI2_Onset_Greenness_Maximum_1_o3_r
1040,53.060045,8.916966,-0.568927344963056
465,31.737,119.579,-0.5681381730564141
57,31.1317,104.3826,-0.5680928280976724
923,51.054558,12.141322,-0.5672561133212684
195,33.1138,107.0089,-0.5653056326689518
820,48.753179,21.245046,-0.5646062131358658
977,45.154075,26.818619,-0.5635467290275287
1286,36.02661,-80.341965,-0.5633047115389128
475,29.3867,117.3102,-0.5629096293405081
569,26.8906,100.2203,-0.5625291936492065
1063,48.326013,10.903051,-0.5622959599814712
354,41.7653,123.4114,-0.561658013905798
30,36.6106,109.5056,-0.5610601702442213
1226,46.586918,0.358583,-0.5607497883396434
673,49.419528,8.6767,-0.5604936352583341
1171,43.5166,-5.6707,-0.5597957375390132
1278,41.24045,-80.66272,-0.5581876304943745
719,47.27476,4.099476,-0.5574278054217788
100,36.1989,113.1031,-0.5561774890345609
530,31.2827,107.5277,-0.555924345570338
311,36.6868,117.0624,-0.5547039922025335
390,39.9136,116.184,-0.5542540623645776
557,32.6389,110.7258,-0.5523671699639682
891,42.516944,1.56525,-0.5510472988758369
216,41.7325,125.9446,-0.5479873798256326
1312,32.364567,-88.73149,-0.5470450355356199
586,35.7668,115.0,-0.5436859361628097
230,35.0303,110.9686,-0.5427767916099435
306,39.9499,119.5897,-0.542485015436043
1069,52.398406,13.368103,-0.5421774866781292
442,36.7729,119.1936,-0.5413630892927815
669,29.4251,113.1493,-0.5412291654224223
998,48.173194,11.648036,-0.5396686478331533
171,35.5307,106.7021,-0.5380513888546026
720,47.3456,5.002377,-0.537920062213326
678,50.836389,19.130111,-0.5376960321346308
50,34.7752,111.1922,-0.5367013363146611
1293,35.614132,-97.47508,-0.5354893037474818
0,39.8784,116.3621,-0.5347544529155359
240,46.6528,126.964,-0.533263660238368
674,50.007629,18.455548,-0.5322678517548379
559,29.7046,115.9584,-0.532097388185108
683,45.6725,12.238611,-0.5315546680220168
676,49.224167,4.020556,-0.5315528844205588
1433,40.56252,-80.503944,-0.5308601449432319
684,50.010575,19.949189,-0.528726579967364
787,49.50504,5.97694,-0.5262163361893782
932,43.322554,21.919025,-0.5250772242950668
1183,51.303394,6.819887,-0.5232932903613609
1072,49.634841,9.657919,-0.5230384795340988
25,41.3472,123.8142,-0.5224657101530032
1195,50.0075,20.259167,-0.5220743016099615
28,34.6886,112.494,-0.5209106020891217
1015,48.17278,6.452811,-0.5170261628934878
375,43.8772,125.3716,-0.516738989674851
1395,33.545277,-86.549164,-0.5166365996475059
199,30.2756,118.1371,-0.5155694757745899
396,39.6506,118.1705,-0.5152718498044465
1335,42.09142,-77.20978,-0.5150122423222545
26,41.0879,121.1115,-0.5148976317508098
1423,35.43477,-83.44213,-0.5124224638666602
529,31.2132,107.4988,-0.5112259047971571
823,45.1763,7.7116,-0.511081746972316
903,50.37658691,13.32762241,-0.5100907175532153
1353,40.56333,-78.919975,-0.509626692624464
20,41.8611,124.0436,-0.5090515664964056
524,29.9833,103.0111,-0.5089345483188716
722,49.40619,1.15515,-0.5064990911061166
89,34.1978,108.985,-0.5057287939952898
1381,38.548138,-82.73116,-0.5038321986217802
514,28.6842,115.9314,-0.5037617092544875
77,40.7677,120.8695,-0.5032414860576141
495,28.1944,113.0014,-0.5023508228650052
24,41.2664,123.7992,-0.5011967515245361
1206,45.238642,19.835704,-0.4998087569910986
924,49.544078,8.465281,-0.4994409448803213
1245,33.81468,-80.781136,-0.4987236942516671
824,44.5,11.286111,-0.4985044298364504
472,35.176,113.2467,-0.4984112039658795
394,39.1661,117.1444,-0.4956663453413115
889,50.74823,2.25978,-0.4953338799385842
712,52.029194,23.149389,-0.4933226720654006
1316,29.632057,-98.56493,-0.4917124827441224
1397,33.331112,-87.00361,-0.4906845525217402
468,47.8517,88.1264,-0.4885310221433314
206,42.0224,121.6717,-0.4881630953424207
1315,42.139996,-87.799225,-0.4873833271418006
734,43.310833,-0.391111,-0.4852999712537387
86,34.2173,108.9356,-0.4838929471083066
310,36.663,117.0495,-0.4813187605403666
320,38.8632,115.493,-0.4787496457701163
595,34.4285,115.6702,-0.4785222723154841
1212,42.36417,13.38306,-0.4767655865380488
655,30.5767,104.0594,-0.4760437186286978
1348,34.454514,-94.143524,-0.4754706901080232
1340,29.723333,-95.63583,-0.4739278780761026
71,40.1503,124.4256,-0.473534086959171
1190,49.784339,22.756239,-0.4735204071652721
792,45.760833,11.736667,-0.4724113942433603
1209,50.912475,15.31219,-0.4712398064654284
1176,44.825,11.649722,-0.4711369967466501
702,60.37288,11.07407,-0.4679027207488364
1321,40.72099,-74.192894,-0.4667651234560085
708,43.09625,-0.040497,-0.4659101477297981
438,27.8336,113.251,-0.4647718489694454
768,50.429014,21.277367,-0.4646219838648128
1300,33.43395,-84.16181,-0.4629711995714107
1113,54.97825,-1.610528,-0.4622903820301994
504,26.4364,111.5992,-0.4620582758169597
1064,56.2904,8.4274,-0.4609922108139129
760,47.594257,1.302667,-0.460499326989909
5,47.3227,123.9483,-0.4602989231136766
591,36.61763,114.5129,-0.4602444736936082
837,44.73473,9.36693,-0.4585546584608742
145,32.0564,112.1392,-0.4583542515944605
1173,50.900317,5.986853,-0.4571685624391992
888,46.58389,0.345556,-0.4556426709340749
241,32.9427,117.3605,-0.4545202086859466
367,45.7733,126.689,-0.4527806686503525
863,52.602056,11.850274,-0.4526797068977912
706,42.09791019,1.848237224,-0.4517581471616378
13,46.6215,124.9042,-0.4509905075245872
1104,51.75816,10.61248,-0.4509037290480661
43,36.1017,114.3551,-0.4500602195201081
81,43.831,87.6432,-0.4481213629466956
1106,50.84971052,4.33410368,-0.445365801711008
1350,42.51831,-89.06347,-0.4453603984518358
960,51.25210341,4.491362028,-0.4446614514673388
914,52.146264,14.638166,-0.4441755520624221
1415,30.419806,-91.182014,-0.4436901415966982
1061,50.048397,10.232076,-0.4412238454132239
1160,42.36831811,1.776783258,-0.4385610214732477
793,47.06701111,15.49368889,-0.4374100904872966
1313,38.86067,-90.10585,-0.4364190336045907
632,22.5311,113.0219,-0.43506647463694
163,35.303,113.883,-0.4318069834844442
314,31.8707,117.2588,-0.430583960101964
911,50.11108017,14.50309563,-0.4299773660256704
1159,49.851334,3.284,-0.4293409270896832
892,44.926111,10.370833,-0.4283674152967058
159,30.6618,117.47,-0.427269334835555
810,47.4885583,12.066633,-0.4258633206289994
967,53.480927,9.857223,-0.4255830721749681
898,47.737415,7.309075,-0.4247237459311437
1359,40.46542,-79.960754,-0.4235518532273153
664,34.6692,112.3628,-0.4203766086324998
1214,45.297325,27.949461,-0.4200334776590066
573,30.4663,106.6271,-0.4186808109254496
459,31.656,120.734,-0.4167463828875051
533,30.5366,105.5861,-0.4150288218558984
426,37.3753,97.3731,-0.4123224144903918
876,44.99694,11.07083,-0.4116723653397073
1452,40.27813,-105.54564,-0.410843028164682
753,42.33611,-3.63611,-0.410726726293039
838,45.1391,7.0501,-0.4098587384570544
628,34.5023,109.4259,-0.4057756265136352
930,51.746848,14.33447,-0.403967116932779
242,32.8911,117.4185,-0.4028374464511756
870,52.800773,10.756733,-0.4026496147904722
762,45.158745,1.537222,-0.4024935043961669
1283,35.9359,-81.5306,-0.4016707288789677
1182,51.839382,10.790143,-0.4006340219005112
105,37.8572,113.5758,-0.3982491246732318
643,37.4442,118.5857,-0.3976029082066941
781,48.167961,17.106244,-0.3963296192489721
847,41.97833,21.47,-0.3956457944511868
1241,35.507225,-82.96362,-0.394372943217218
164,35.7636,115.0312,-0.392894937650899
1376,42.099697,-71.6194,-0.3924654685698355
510,26.9056,112.5664,-0.3913638617383476
188,30.5232,105.5582,-0.3900579770384835
451,26.4365,106.6555,-0.3856574315669103
95,36.1856,113.0844,-0.3854312649371521
866,50.979455,11.037924,-0.3853782531584636
1346,39.4125,-107.23056,-0.3848688866139821
1294,44.735977,-68.67075,-0.38378712701022
770,45.4512,7.878,-0.3835348917994621
1213,50.676856,17.950278,-0.3822763762449668
826,45.1546,7.658,-0.3801096549282162
1344,41.84046,-72.01037,-0.3799803358485746
1154,41.66638888,-4.715,-0.3790449244534706
1139,50.66109467,14.04306316,-0.3783617422403307
537,23.7233,114.6892,-0.377771281742372
1039,50.766815,7.973542,-0.377355614977889
253,47.3086,130.2684,-0.3760102711231973
939,46.23451421,15.262476,-0.3752496192498727
969,51.453459,6.86505,-0.3749765838796391
190,31.2124,107.4644,-0.3738490512104216
217,39.3278,112.4072,-0.3723916134056496
235,41.9419,126.4077,-0.3719288280275662
27,40.8434,121.0533,-0.3693246738565102
321,36.6133,114.484,-0.3685462620852255
659,36.0855,111.5018,-0.3680560014007424
500,30.2798,109.4707,-0.3677062197816865
1136,42.45639,14.23472,-0.367636156197929
355,41.8467,123.4264,-0.3673846106620228
1255,38.013332,-87.577225,-0.367296127033379
1155,43.26444,-4.06278,-0.3665285309743604
843,43.223044,27.587239,-0.366449641041866
317,36.6734,117.1265,-0.3661830621126435
640,29.6815,115.9872,-0.3660291530619435
309,36.0658,120.4134,-0.3656898242824059
1254,34.002747,-89.79919,-0.3656261607504176
1081,51.90158,10.48132,-0.3651738831479517
947,48.33472,16.729445,-0.3650826222524655
109,42.2816,118.9233,-0.3622786300497768
373,43.79,125.4605,-0.3610771880877304
1004,51.52229,-0.125889,-0.3602637324073268
113,35.4216,119.523,-0.3596346155822057
243,32.9673,117.3533,-0.3583890776890929
494,25.7759,113.0348,-0.3579290209146991
1389,39.40745,-94.26537,-0.3573464402990745
579,30.0003,120.5483,-0.3573016409757549
1380,44.310555,-84.89187,-0.3559770092742159
9,44.6075,129.6364,-0.3557802197107169
1185,51.536893,7.457409,-0.3557640714635291
1223,47.0677,8.30068,-0.3551623389708752
619,30.9413,117.7807,-0.3550407810511281
200,30.6145,116.9896,-0.3547149346641173
1007,48.9964,1.7033,-0.354636810219668
194,33.0706,107.0154,-0.3542773350863516
1416,39.28102,-78.08157,-0.3540094375500645
1119,45.623056,13.7875,-0.3521144763506177
788,47.541944,19.146122,-0.3510349202079773
123,34.5578,117.7276,-0.3503265584496179
193,30.0475,101.9603,-0.3499375132584501
1030,50.5976,-3.71651,-0.348310579638529
1043,45.411864,28.005967,-0.3474381611282346
979,51.396095,12.234054,-0.3469514274338932
1197,44.429489,24.351389,-0.3465050838446777
905,45.873889,10.1775,-0.3449721211055219
1001,47.73344,12.891241,-0.3446622554458865
1002,53.37287,-3.022722,-0.3438935287875623
1367,41.3014,-72.90287,-0.3436425723305911
881,51.468662,5.47235,-0.3409882023709327
1393,33.578335,-86.77389,-0.3407646949953732
175,42.8328,93.4961,-0.3380242258742779
996,49.32273,11.02792,-0.3372576240252567
995,53.56414,9.967882,-0.3356619202878244
117,36.4372,115.9848,-0.3328349110091114
400,27.0999,114.9658,-0.3298238275656279
1334,43.05235,-76.05921,-0.3276187287430845
731,45.0419,7.6259,-0.3264649297567321
327,31.1907,121.703,-0.3238155180053594
319,38.9108,115.4713,-0.3228541836600546
880,45.0028,7.8375,-0.3225094537149789
389,38.0058,114.4586,-0.3223546397055372
1248,41.4271,-80.1451,-0.3215534773269921
1128,45.371944,11.841944,-0.3164010699520166
1100,50.85671305,4.425760659,-0.3157790536205455
323,33.575,119.007,-0.312585677671639
75,40.7136,120.9092,-0.3116455659546585
665,31.751,119.579,-0.3115976314857297
1249,36.306965,-79.09197,-0.3106060506319873
112,37.4309,118.6614,-0.3096245368600119
138,30.2313,115.0601,-0.3089005126790088
144,32.5714,110.8839,-0.3073364393560445
599,32.3153,118.3093,-0.3059292009867681
799,47.09436111,15.41511111,-0.304311231560154
561,29.6547,116.0172,-0.3028410656414602
518,29.5844,103.7627,-0.3014404679967596
1347,37.71325,-119.7062,-0.3013169100658864
1432,36.60843,-83.73694,-0.3002316741266468
346,32.0309,118.8109,-0.2990873612741608
362,40.7866,111.5512,-0.2987971044142632
754,49.744886,21.454617,-0.2981180196607435
789,45.0249,7.6491,-0.2978642023207491
126,37.5433,121.3719,-0.297004424052937
464,31.354,119.818,-0.295933886412512
1420,35.158688,-78.728035,-0.2955365654969551
205,41.998,121.6094,-0.2948826312010123
246,33.9477,116.7856,-0.2930585971995341
758,45.47833,9.23583,-0.2930247089766625
293,37.7394,112.5583,-0.2917421088373425
935,50.88369465,4.382977505,-0.291706768600169
409,27.7844,114.3956,-0.2909967256256973
403,27.1312,114.99,-0.2893682016610189
182,36.5446,104.1724,-0.288834465225081
6,47.2988,123.945,-0.2872285879853941
1243,35.438557,-81.27675,-0.2867053559155115
554,22.5545,114.1063,-0.2859697319395411
773,48.40861,15.619166,-0.2839724452786776
1187,43.285,13.42861,-0.2832495199525492
983,41.947654,12.533667,-0.282645817875354
180,36.1911,113.1569,-0.2823486836796721
1426,30.848612,-85.60389,-0.2810885216126256
757,43.15333,-4.25306,-0.2804302889323308
814,45.79728,3.113833,-0.2789581456745149
966,51.406846,6.965589,-0.2742218666797069
816,49.211447,18.771215,-0.2738637930233064
975,49.628771,8.364779,-0.2736360662779071
353,41.7867,123.4678,-0.2733322269023344
1445,35.988277,-77.5843,-0.2733039603403228
990,42.697918,9.446417,-0.2723683482010182
803,48.16206944,16.52561389,-0.2717439614110138
899,40.540351,-3.645253,-0.2712606868072056
1020,45.560556,11.539722,-0.2712283113941759
480,27.5002,114.0997,-0.2707442146689823
1011,43.91611,11.00694,-0.270602470166432
308,30.6217,114.3646,-0.2698881076635169
813,47.04735,16.07905,-0.2695590106665596
648,28.3611,112.9581,-0.2675341212813588
1098,51.15013609,3.80873543,-0.2669965823450792
404,24.8886,102.8204,-0.2632667753078146
287,33.9592,118.2442,-0.2622802418078709
213,43.1713,124.4002,-0.2606234329373736
295,40.762,114.8902,-0.2598445878182568
921,48.773072,8.220214,-0.2596913744354823
350,31.7069,119.9468,-0.2589372037329483
596,33.965,118.283,-0.2569298550773922
299,34.80246,113.67526,-0.2567758644495947
709,52.407578,20.955928,-0.2537294386882275
337,31.3097,120.669,-0.251121193510959
744,43.34639,-4.06417,-0.2509678122078486
51,30.7856,106.1064,-0.2504659723864303
18,41.8491,123.7977,-0.2501730316191422
854,42.666508,23.400164,-0.2500246285075846
84,30.6306,104.1122,-0.2496361812129429
1208,44.386558,23.733658,-0.246851500819295
945,48.27329,14.31479,-0.244926285178144
61,41.0931,123.011,-0.2446003642708427
545,36.0621,114.4839,-0.243185833895433
1042,53.924712,9.532635,-0.2427687501547127
393,39.0927,117.202,-0.2419068248245855
549,28.9398,118.8692,-0.2412069036111389
980,51.317905,12.297411,-0.2409915968900881
861,46.765425,23.550258,-0.2404380971195528
1238,40.6646,-3.7739,-0.2377289665125851
371,43.8447,125.3863,-0.2361298061112554
1413,41.094967,-85.101814,-0.2359290719171317
555,31.7231,118.5228,-0.2325043152931187
1054,40.62984,-3.17159,-0.2298384671845839
368,45.5419,126.979,-0.2297975211983246
271,37.0851,114.5237,-0.226966645465406
340,32.02,120.87,-0.2265098326378515
268,30.6764,104.1419,-0.2263502785661526
690,44.3818,7.5382,-0.225900271026176
1330,40.92458,-75.06782,-0.2247586163848852
1177,43.3665,-5.833,-0.2218375446485304
730,45.683333,9.466667,-0.2212933031497309
1258,41.606663,-87.30494,-0.2192973257081015
1263,36.019184,-83.87381,-0.2185690737301071
139,30.2006,115.0817,-0.2180850868098039
1247,35.0608,-83.4306,-0.2175142439839149
380,38.8639,115.5086,-0.2157168832641755
1105,59.399355,18.077416,-0.2140826727731636
455,36.885,120.515,-0.212608712515631
749,43.313,-7.6937,-0.2125628022738058
627,22.5978,114.297,-0.2122651896844588
740,45.474156,28.034406,-0.212089773138391
336,31.2472,120.561,-0.2111172336808333
369,45.8167,126.561,-0.2105569253308242
1143,52.411563,-1.560228,-0.2101895146592999
1368,34.530716,-86.96754,-0.2099143786565715
1429,40.689255,-122.40219,-0.2099024523247973
349,45.7258,126.6411,-0.2096792915052877
